Image,Label
imgs/train/bos_taurus_s_000507.png,cattle
imgs/train/stegosaurus_s_000125.png,dinosaur
imgs/train/mcintosh_s_000643.png,apple
imgs/train/altar_boy_s_001435.png,boy
imgs/train/cichlid_s_000031.png,aquarium_fish
imgs/train/phone_s_002161.png,telephone
imgs/train/car_train_s_000043.png,train
imgs/train/beaker_s_000604.png,cup
imgs/train/fog_s_000397.png,cloud
imgs/train/rogue_elephant_s_000421.png,elephant
imgs/train/computer_keyboard_s_000757.png,keyboard
imgs/train/willow_tree_s_000645.png,willow_tree
imgs/train/sunflower_s_000549.png,sunflower
imgs/train/palace_s_000759.png,castle
imgs/train/adriatic_s_001782.png,sea
imgs/train/computer_keyboard_s_001277.png,keyboard
imgs/train/bike_s_000682.png,bicycle
imgs/train/wolf_pup_s_001323.png,wolf
imgs/train/squirrel_s_002467.png,squirrel
imgs/train/sea_s_000678.png,sea
imgs/train/shrew_s_002233.png,shrew
imgs/train/pine_tree_s_000087.png,pine_tree
imgs/train/rose_s_000373.png,rose
imgs/train/surveillance_system_s_000769.png,television
imgs/train/pine_s_001533.png,pine_tree
imgs/train/table_s_000897.png,table
imgs/train/opossum_s_001237.png,possum
imgs/train/quercus_alba_s_000257.png,oak_tree
imgs/train/leopard_s_000414.png,leopard
imgs/train/possum_s_002195.png,possum
imgs/train/bike_s_000127.png,bicycle
imgs/train/balmoral_castle_s_000361.png,castle
imgs/train/acer_saccharinum_s_000646.png,maple_tree
imgs/train/lapin_s_000916.png,rabbit
imgs/train/chimp_s_001419.png,chimpanzee
imgs/train/clock_s_002291.png,clock
imgs/train/streetcar_s_000663.png,streetcar
imgs/train/male_child_s_000800.png,boy
imgs/train/oriental_cockroach_s_000650.png,cockroach
imgs/train/breakfast_table_s_001135.png,table
imgs/train/coluber_constrictor_s_000067.png,snake
imgs/train/lobster_s_000034.png,lobster
imgs/train/mount_s_002852.png,mountain
imgs/train/wolf_pup_s_001277.png,wolf
imgs/train/areca_s_000244.png,palm_tree
imgs/train/skyscraper_s_000180.png,skyscraper
imgs/train/boy_s_001150.png,boy
imgs/train/train_s_001640.png,train
imgs/train/tractor_s_001723.png,tractor
imgs/train/snake_s_000046.png,snake
imgs/train/shortfin_mako_s_000172.png,shark
imgs/train/butterfly_s_001371.png,butterfly
imgs/train/television_s_000158.png,television
imgs/train/beer_bottle_s_001063.png,bottle
imgs/train/adriatic_s_002075.png,sea
imgs/train/honeybee_s_001911.png,bee
imgs/train/red_maple_s_000275.png,maple_tree
imgs/train/reclining_chair_s_001157.png,chair
imgs/train/black_woman_s_001310.png,woman
imgs/train/silver_maple_s_001664.png,maple_tree
imgs/train/syrian_hamster_s_000340.png,hamster
imgs/train/otter_s_000259.png,otter
imgs/train/seal_s_001773.png,seal
imgs/train/panthera_leo_s_000068.png,lion
imgs/train/morchella_esculenta_s_000159.png,mushroom
imgs/train/female_child_s_000292.png,girl
imgs/train/bell_pepper_s_001100.png,sweet_pepper
imgs/train/forest_s_001702.png,forest
imgs/train/crocodile_s_002505.png,crocodile
imgs/train/valencia_orange_s_000087.png,orange
imgs/train/tulip_s_000253.png,tulip
imgs/train/mus_musculus_s_000005.png,mouse
imgs/train/arabian_camel_s_000259.png,camel
imgs/train/tractor_s_000104.png,tractor
imgs/train/hamster_s_001554.png,hamster
imgs/train/caterpillar_s_001005.png,caterpillar
imgs/train/bulldozer_s_000433.png,tractor
imgs/train/man_s_000841.png,man
imgs/train/woods_s_000031.png,forest
imgs/train/leopard_s_000033.png,leopard
imgs/train/keyboard_s_000092.png,keyboard
imgs/train/possum_s_000413.png,possum
imgs/train/skunk_s_000825.png,skunk
imgs/train/kangaroo_s_002457.png,kangaroo
imgs/train/cirrocumulus_s_001397.png,cloud
imgs/train/panthera_pardus_s_000593.png,leopard
imgs/train/raccoon_s_002740.png,raccoon
imgs/train/garden_snail_s_000513.png,snail
imgs/train/mount_s_000051.png,mountain
imgs/train/caterpillar_s_000450.png,caterpillar
imgs/train/man_s_000737.png,man
imgs/train/camel_s_000876.png,camel
imgs/train/girl_s_001964.png,girl
imgs/train/minuteman_s_000073.png,rocket
imgs/train/fin_whale_s_000110.png,whale
imgs/train/sweet_pepper_s_000921.png,sweet_pepper
imgs/train/manual-skunk007.png,skunk
imgs/train/nematode_s_000034.png,worm
imgs/train/shark_s_002026.png,shark
imgs/train/marine_turtle_s_000339.png,turtle
imgs/train/river_otter_s_000028.png,otter
imgs/train/computer_keyboard_s_000598.png,keyboard
imgs/train/castor_fiber_s_000167.png,beaver
imgs/train/timber_wolf_s_000489.png,wolf
